path_351: x=607.05, y=385.66
path_352: x=620.81, y=385.46
path_353: x=615.01, y=384.81
path_354: x=195.21, y=678.97
path_355: x=205.41, y=641.11
path_356: x=199.71, y=615.91
path_357: x=150.94, y=615.22
path_358: x=148.37, y=614.24
path_359: x=140.92, y=609.59
path_360: x=138.57, y=609.87
path_361: x=137.99, y=608.57
path_362: x=166.13, y=605.37
path_363: x=204.11, y=569.17
path_364: x=201.19, y=565.65
path_365: x=201.51, y=564.56
path_366: x=195.26, y=562.06
path_367: x=197.90, y=558.98
path_368: x=194.68, y=558.66
path_369: x=1926.72, y=576.62
path_370: x=1889.45, y=576.56
path_371: x=1925.14, y=574.10
path_372: x=1922.28, y=570.74
path_373: x=1899.32, y=569.55
path_374: x=1900.61, y=564.45
path_375: x=1897.97, y=563.49
path_376: x=1890.62, y=563.60
path_377: x=1891.95, y=560.45
path_378: x=1891.21, y=559.97
path_379: x=1885.06, y=559.97
path_380: x=1876.52, y=557.93
path_381: x=1880.06, y=558.16
path_382: x=1879.02, y=557.28
path_383: x=1875.25, y=556.66
path_384: x=1888.25, y=556.12
path_385: x=1895.56, y=559.13
path_386: x=1874.11, y=554.71
path_387: x=1874.56, y=554.54
path_388: x=1876.86, y=554.90
path_389: x=1871.33, y=553.65
path_390: x=1874.25, y=553.18
path_391: x=1871.95, y=551.48
path_392: x=1881.94, y=550.66
path_393: x=1886.10, y=553.34
path_394: x=1881.93, y=550.19
path_395: x=1877.23, y=549.37
path_396: x=1881.13, y=549.57
path_397: x=1878.27, y=549.52
path_398: x=1866.02, y=549.08
path_399: x=1867.33, y=547.15
path_400: x=1869.21, y=546.23
path_401: x=1873.97, y=546.89
path_402: x=1023.81, y=500.33
path_403: x=1028.26, y=491.42
SX: x=211.40, y=128.83
path_405: x=1248.27, y=562.23
path_406: x=1248.13, y=561.82
path_407: x=1300.44, y=531.74
path_408: x=588.06, y=361.79
path_409: x=585.20, y=361.83
path_410: x=586.94, y=361.07
path_411: x=14.44, y=639.14
path_412: x=12.66, y=637.81
path_413: x=10.94, y=628.66
path_414: x=15.07, y=621.32
path_415: x=1.23, y=601.93
path_416: x=640.54, y=434.90
path_417: x=644.29, y=429.63
TV: x=666.21, y=185.57
VC: x=214.20, y=139.46
VG: x=208.73, y=127.96
path_421: x=624.12, y=387.96
path_422: x=624.81, y=384.07
path_423: x=623.75, y=384.03
path_424: x=1931.78, y=631.46
path_425: x=1930.23, y=627.01
path_426: x=1930.18, y=622.58
path_427: x=1927.74, y=615.33
path_428: x=1929.93, y=610.40
path_429: x=1928.40, y=609.22
path_430: x=1929.12, y=607.83
path_431: x=1928.43, y=606.16
path_432: x=1924.74, y=606.25
path_433: x=1923.78, y=602.49
path_434: x=1923.93, y=601.85
path_435: x=1929.44, y=603.00
path_436: x=1927.96, y=600.63
path_437: x=1929.97, y=599.38
path_438: x=1922.67, y=599.61
path_439: x=1927.55, y=593.21
path_440: x=1927.88, y=590.49
path_441: x=1923.43, y=586.20
path_442: x=20.84, y=591.28
path_443: x=16.69, y=589.36
BQBO: x=200.70, y=141.74
BQSE: x=211.32, y=129.92
BQSA: x=210.93, y=129.60
MQ: x=214.73, y=135.77
path_448: x=887.70, y=323.68
path_449: x=900.98, y=322.37
path_450: x=892.06, y=321.29
path_451: x=895.76, y=320.21
path_452: x=909.59, y=319.43
path_453: x=888.79, y=317.62
path_454: x=911.83, y=315.50
YT: x=0.12, y=0.26
RE: x=433.12, y=212.50
path_457: x=642.92, y=399.49
path_458: x=640.74, y=398.03
path_459: x=642.25, y=396.99
path_460: x=1988.93, y=624.83
path_461: x=1980.65, y=624.02
path_462: x=1982.30, y=623.17
path_463: x=1988.23, y=617.50
path_464: x=1985.91, y=615.35
path_465: x=1981.13, y=616.25
path_466: x=1989.99, y=612.97
path_467: x=1978.11, y=611.62
path_468: x=1993.64, y=610.49
path_469: x=1990.25, y=608.38
